"Retrieval Model", "Evaluation Metric", "Value"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "MAP", "0.21336282471907916"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "MRR", "0.8250457875457877"

"Retrieval Model", "Evaluation Metric", "Query", "Value"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "1", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "2", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "3", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "4", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "5", "0.2"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "6", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "7", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "8", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "9", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "10", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "11", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "12", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "13", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "14", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "15", "0.2"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "16", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "17", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "18", "0.2"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "19", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "20", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "21", "0"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "22", "0"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "23", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "24", "0"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "25", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "26", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "27", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "28", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "29", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "30", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "31", "0.2"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "32", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "33", "0.2"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "36", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "37", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "38", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "39", "0.2"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "40", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "42", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "43", "0"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "44", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "45", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "48", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "49", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "57", "0.2"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "58", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "59", "0.8"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "60", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "61", "1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "62", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "63", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@5", "64", "0.2"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "1", "0.1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "2", "0.15"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "3", "0.1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "4", "0.2"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "5", "0.2"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "6", "0.1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "7", "0.55"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "8", "0.1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "9", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "10", "0.55"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "11", "0.45"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "12", "0.1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "13", "0.3"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "14", "0.75"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "15", "0.1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "16", "0.3"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "17", "0.35"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "18", "0.2"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "19", "0.3"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "20", "0.15"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "21", "0.1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "22", "0.15"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "23", "0.15"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "24", "0.1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "25", "0.55"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "26", "0.2"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "27", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "28", "0.2"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "29", "0.45"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "30", "0.1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "31", "0.1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "32", "0.1"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "33", "0.05"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "36", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "37", "0.25"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "38", "0.5"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "39", "0.3"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "40", "0.3"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "42", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "43", "0.35"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "44", "0.45"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "45", "0.5"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "48", "0.4"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "49", "0.25"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "57", "0.05"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "58", "0.5"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "59", "0.6"
"../retriever/results/BM25_Model_Pseudo_Relevance.txt", "P@20", "60", "0.65"
